# Columns:
#: UTF-8 (hex.)	Unicode code point	character	UTF-8 (hex.) replacement	name

# Unicode U+0080 -- U+00FF
# Letters

43 cc 8c	U+010C	Č	c4 8c	LATIN CAPITAL LETTER C WITH CARON
63 cc 8c	U+010D	č	c4 8d	LATIN SMALL LETTER C WITH CARON

44 cc 8c	U+010E	Ď	c4 8e	LATIN CAPITAL LETTER D WITH CARON
64 cc 8c	U+010F	ď	c4 8f	LATIN SMALL LETTER D WITH CARON
-	U+0110	Đ	c4 90	LATIN CAPITAL LETTER D WITH STROKE
-	U+0111	đ	c4 91	LATIN SMALL LETTER D WITH STROKE

45 cc 84	U+0112	Ē	c4 92	LATIN CAPITAL LETTER E WITH MACRON
65 cc 84	U+0113	ē	c4 93	LATIN SMALL LETTER E WITH MACRON
45 cc 86	U+0114	Ĕ	c4 94	LATIN CAPITAL LETTER E WITH BREVE
65 cc 86	U+0115	ĕ	c4 95	LATIN SMALL LETTER E WITH BREVE
45 cc 87	U+0116	Ė	c4 96	LATIN CAPITAL LETTER E WITH DOT ABOVE
65 cc 87	U+0117	ė	c4 97	LATIN SMALL LETTER E WITH DOT ABOVE
45 cc a8	U+0118	Ę	c4 98	LATIN CAPITAL LETTER E WITH OGONEK
65 cc a8	U+0119	ę	c4 99	LATIN SMALL LETTER E WITH OGONEK
45 cc 8c	U+011A	Ě	c4 9a	LATIN CAPITAL LETTER E WITH CARON
65 cc 8c	U+011B	ě	c4 9b	LATIN SMALL LETTER E WITH CARON

47 cc 82	U+011C	Ĝ	c4 9c	LATIN CAPITAL LETTER G WITH CIRCUMFLEX
67 cc 82	U+011D	ĝ	c4 9d	LATIN SMALL LETTER G WITH CIRCUMFLEX
47 cc 86	U+011E	Ğ	c4 9e	LATIN CAPITAL LETTER G WITH BREVE
67 cc 86	U+011F	ğ	c4 9f	LATIN SMALL LETTER G WITH BREVE
47 cc 87	U+0120	Ġ	c4 a0	LATIN CAPITAL LETTER G WITH DOT ABOVE
67 cc 87	U+0121	ġ	c4 a1	LATIN SMALL LETTER G WITH DOT ABOVE
47 cc a7	U+0122	Ģ	c4 a2	LATIN CAPITAL LETTER G WITH CEDILLA
67 cc a7	U+0123	ģ	c4 a3	LATIN SMALL LETTER G WITH CEDILLA

48 cc 82	U+0124	Ĥ	c4 a4	LATIN CAPITAL LETTER H WITH CIRCUMFLEX
68 cc 82	U+0125	ĥ	c4 a5	LATIN SMALL LETTER H WITH CIRCUMFLEX
-	U+0126	Ħ	c4 a6	LATIN CAPITAL LETTER H WITH STROKE
-	U+0127	ħ	c4 a7	LATIN SMALL LETTER H WITH STROKE

49 cc 83	U+0128	Ĩ	c4 a8	LATIN CAPITAL LETTER I WITH TILDE
69 cc 83	U+0129	ĩ	c4 a9	LATIN SMALL LETTER I WITH TILDE
49 cc 84	U+012A	Ī	c4 aa	LATIN CAPITAL LETTER I WITH MACRON
69 cc 84	U+012B	ī	c4 ab	LATIN SMALL LETTER I WITH MACRON
49 cc 86	U+012C	Ĭ	c4 ac	LATIN CAPITAL LETTER I WITH BREVE
69 cc 86	U+012D	ĭ	c4 ad	LATIN SMALL LETTER I WITH BREVE
49 cc a8	U+012E	Į	c4 ae	LATIN CAPITAL LETTER I WITH OGONEK
69 cc a8	U+012F	į	c4 af	LATIN SMALL LETTER I WITH OGONEK
49 cc 87	U+0130	İ	c4 b0	LATIN CAPITAL LETTER I WITH DOT ABOVE
-	U+0131	ı	c4 b1	LATIN SMALL LETTER DOTLESS I
-	U+0132	Ĳ	c4 b2	LATIN CAPITAL LIGATURE IJ
-	U+0133	ĳ	c4 b3	LATIN SMALL LIGATURE IJ

4A cc 82	U+0134	Ĵ	c4 b4	LATIN CAPITAL LETTER J WITH CIRCUMFLEX
6A cc 82	U+0135	ĵ	c4 b5	LATIN SMALL LETTER J WITH CIRCUMFLEX

4B cc a7	U+0136	Ķ	c4 b6	LATIN CAPITAL LETTER K WITH CEDILLA
6B cc a7	U+0137	ķ	c4 b7	LATIN SMALL LETTER K WITH CEDILLA
-	U+0138	ĸ	c4 b8	LATIN SMALL LETTER KRA

4C cc 81	U+0139	Ĺ	c4 b9	LATIN CAPITAL LETTER L WITH ACUTE
6C cc 81	U+013A	ĺ	c4 ba	LATIN SMALL LETTER L WITH ACUTE
4C cc a7	U+013B	Ļ	c4 bb	LATIN CAPITAL LETTER L WITH CEDILLA
6C cc a7	U+013C	ļ	c4 bc	LATIN SMALL LETTER L WITH CEDILLA
4C cc 8c	U+013D	Ľ	c4 bd	LATIN CAPITAL LETTER L WITH CARON
6C cc 8c	U+013E	ľ	c4 be	LATIN SMALL LETTER L WITH CARON
-	U+013F	Ŀ	c4 bf	LATIN CAPITAL LETTER L WITH MIDDLE DOT
-	U+0140	ŀ	c5 80	LATIN SMALL LETTER L WITH MIDDLE DOT
-	U+0141	Ł	c5 81	LATIN CAPITAL LETTER L WITH STROKE
-	U+0142	ł	c5 82	LATIN SMALL LETTER L WITH STROKE

4E cc 81	U+0143	Ń	c5 83	LATIN CAPITAL LETTER N WITH ACUTE
6E cc 81	U+0144	ń	c5 84	LATIN SMALL LETTER N WITH ACUTE
4E cc a7	U+0145	Ņ	c5 85	LATIN CAPITAL LETTER N WITH CEDILLA
6E cc a7	U+0146	ņ	c5 86	LATIN SMALL LETTER N WITH CEDILLA
4E cc 8c	U+0147	Ň	c5 87	LATIN CAPITAL LETTER N WITH CARON
6E cc 8c	U+0148	ň	c5 88	LATIN SMALL LETTER N WITH CARON

# Deprecated letter

-	U+0149	ŉ	c5 89	LATIN SMALL LETTER N PRECEDED BY APOSTROPHE

# European Latin

-	U+014A	Ŋ	c5 8a	LATIN CAPITAL LETTER ENG
-	U+014B	ŋ	c5 8b	LATIN SMALL LETTER ENG

